Date,WIPRO.NS,BAJAJ-AUTO.NS,HDFCBANK.NS,HEROMOTOCO.NS,TCS.NS,INFY.NS,NESTLEIND.NS,MARUTI.NS,RELIANCE.NS,TATAMOTORS.NS,NSE Index
07-08-2018,197.415604,1840.962891,390.983734,2160.118164,1087.197876,370.391327,4943.165039,2476.104004,468.628998,437.132385,7568.549805
08-08-2018,195.7724,1825.817017,383.588104,2169.157471,1091.115723,367.782898,4905.07373,2451.057373,464.460388,428.132599,7625.950195
11-08-2018,193.950592,1832.400391,382.046326,2180.205322,1086.581665,377.377014,4923.182129,2490.262939,464.460388,441.632263,7727.049805
12-08-2018,194.236374,1837.779053,388.911987,2173.719482,1088.056274,377.725525,4878.32373,2489.982422,466.307831,468.779968,7739.549805
13-08-2018,196.558273,1848.449585,391.41745,2158.23584,1100.513916,381.062592,5085.880859,2477.55249,469.031647,468.285461,7791.700195
14-08-2018,195.022278,1837.305542,398.30722,2101.19751,1100.381836,381.500854,5096.17041,2492.13208,475.09494,479.263245,7874.25
18-08-2018,195.629562,1836.875122,401.029388,2101.950439,1095.033447,375.930237,5171.941406,2526.712158,479.879272,498.251801,7897.5
19-08-2018,195.540222,1891.693115,396.934052,2128.063721,1073.419556,374.662994,5271.902832,2569.469727,478.102966,513.136047,7875.299805
20-08-2018,197.237015,1892.209717,395.344116,2123.418457,1072.407349,375.375824,5300.572754,2558.768555,472.915955,506.608734,7891.100098
21-08-2018,196.879791,1951.803711,401.101654,2140.7854,1070.756714,374.784485,5335.553711,2570.637939,471.376434,507.10321,7913.200195
22-08-2018,198.95163,1950.340698,407.967346,2122.874756,1084.732544,380.281128,5312.874512,2574.656982,472.892303,505.916443,7906.299805
25-08-2018,198.380112,1937.647461,406.377441,2150.535645,1110.197998,383.111389,5315.114258,2622.320801,471.708008,502.801117,7904.75
26-08-2018,196.790466,1944.876221,405.919708,2146.517822,1115.370239,382.725861,5366.786133,2591.05835,470.547455,507.004333,7936.049805
27-08-2018,199.523178,1962.345703,403.077026,2176.0625,1122.47937,383.401794,5394.910156,2599.365723,470.713226,515.954651,7954.350098
28-08-2018,201.916519,1943.757324,406.425568,2180.07959,1110.329956,380.048889,5513.43457,2613.679932,473.081726,519.267761,8027.700195
01-09-2018,202.130859,1945.349487,405.293365,2306.165771,1116.845093,380.138611,5544.026855,2734.109375,480.376678,514.273438,8083.049805
02-09-2018,200.398361,1943.671265,413.96582,2337.509521,1117.174927,381.627563,5573.338379,2736.221191,484.971527,510.564667,8114.600098
03-09-2018,206.185257,1915.488037,412.737213,2314.995605,1147.328613,394.352936,5624.096191,2730.120117,488.50061,516.844727,8095.950195
